date,departure_date,days_until_departure,fare_class,price,competitor_price,fuel_price_index,capacity,bookings,day_of_week,month,is_weekend,is_holiday
2023-08-03,2024-01-03,153,Business,852.76,760.0,120.64,40,2,2,1,0,1
2023-09-05,2024-01-03,120,Business,1060.53,1121.77,109.22,40,2,2,1,0,1
2023-09-07,2024-01-03,118,Business,987.04,1053.08,107.73,40,5,2,1,0,1
2023-09-28,2024-01-03,97,Business,1103.87,1084.23,111.43,40,5,2,1,0,1
2023-10-02,2024-01-03,93,Business,1121.5,1052.37,115.53,40,5,2,1,0,1
2023-11-08,2024-01-03,56,Business,1336.17,1372.9,103.88,40,5,2,1,0,1
2023-11-11,2024-01-03,53,Business,1354.87,1705.17,109.1,40,5,2,1,0,1
2023-11-13,2024-01-03,51,Business,1350.64,1126.36,105.53,40,8,2,1,0,1
2023-12-09,2024-01-03,25,Business,1373.92,1663.98,110.45,40,9,2,1,0,1
2023-12-12,2024-01-03,22,Business,1358.46,1186.64,103.91,40,9,2,1,0,1
2023-12-14,2024-01-03,20,Business,1346.02,1530.94,103.37,40,9,2,1,0,1
2024-01-01,2024-01-03,2,Business,1398.2,1329.48,115.01,40,11,2,1,0,1
2023-07-11,2024-01-06,179,First,2144.51,2246.03,116.03,12,2,5,1,1,0
2023-08-11,2024-01-06,148,First,2492.45,2095.25,107.35,12,3,5,1,1,0
2023-08-24,2024-01-06,135,First,2627.56,1934.78,102.66,12,3,5,1,1,0
2023-08-30,2024-01-06,129,First,2524.95,2109.55,119.18,12,3,5,1,1,0
2023-09-17,2024-01-06,111,First,2706.27,2556.79,111.71,12,4,5,1,1,0
2023-09-25,2024-01-06,103,First,2916.67,3256.76,112.17,12,4,5,1,1,0
2023-10-01,2024-01-06,97,First,2991.4,2374.47,108.81,12,4,5,1,1,0
2023-10-13,2024-01-06,85,First,3165.21,2901.55,112.36,12,5,5,1,1,0
2023-11-28,2024-01-06,39,First,3641.61,3670.64,110.0,12,6,5,1,1,0
2023-12-11,2024-01-06,26,First,3687.75,4845.61,117.87,12,7,5,1,1,0
2023-12-18,2024-01-06,19,First,3564.3,4201.14,111.31,12,8,5,1,1,0
2024-01-01,2024-01-06,5,First,4092.48,4371.43,104.45,12,11,5,1,1,0
2023-07-17,2024-01-07,174,Business,794.46,845.46,109.05,40,1,6,1,1,0
2023-07-23,2024-01-07,168,Economy,274.71,261.17,109.69,180,10,6,1,1,0
2023-07-23,2024-01-07,168,Business,898.31,852.12,102.62,40,4,6,1,1,0
2023-08-10,2024-01-07,150,Economy,284.28,254.54,114.95,180,15,6,1,1,0
2023-08-14,2024-01-07,146,Economy,313.97,348.39,102.14,180,23,6,1,1,0
2023-08-14,2024-01-07,146,Business,907.2,920.74,109.57,40,0,6,1,1,0
2023-08-20,2024-01-07,140,Economy,284.56,297.88,115.78,180,31,6,1,1,0
2023-08-21,2024-01-07,139,Economy,272.18,332.44,111.84,180,39,6,1,1,0
2023-08-31,2024-01-07,129,Business,974.9,1025.9,119.76,40,4,6,1,1,0
2023-09-06,2024-01-07,123,Economy,310.94,328.83,115.0,180,50,6,1,1,0
2023-09-06,2024-01-07,123,Business,1019.94,1122.19,106.56,40,5,6,1,1,0
2023-09-09,2024-01-07,120,Business,1084.46,1012.47,117.28,40,6,6,1,1,0
2023-09-10,2024-01-07,119,Business,1096.45,1036.95,105.29,40,7,6,1,1,0
2023-09-13,2024-01-07,116,Economy,358.48,347.45,99.98,180,52,6,1,1,0
2023-09-19,2024-01-07,110,Business,1052.53,1077.82,115.38,40,5,6,1,1,0
2023-09-23,2024-01-07,106,Business,1061.74,1111.73,105.83,40,5,6,1,1,0
2023-09-23,2024-01-07,106,Business,979.88,1073.58,107.31,40,8,6,1,1,0
2023-10-07,2024-01-07,92,Economy,370.55,281.49,103.74,180,57,6,1,1,0
2023-10-08,2024-01-07,91,Business,1072.54,801.22,105.87,40,10,6,1,1,0
2023-10-10,2024-01-07,89,Economy,310.56,313.09,107.64,180,63,6,1,1,0
