timestamp,product_category,quantity_sold,price,competitor_price,promotions,inventory_level,day_of_week,month,is_weekend,is_holiday,season
2023-01-01,Beauty,61,34.57,33.21,0,308,6,1,1,0,Winter
2023-01-01,Electronics,41,423.66,391.4,0,317,6,1,1,0,Winter
2023-01-01,Fashion,76,87.87,88.97,0,368,6,1,1,0,Winter
2023-01-01,Food & Grocery,126,25.56,26.36,0,824,6,1,1,0,Winter
2023-01-01,Home & Kitchen,15,124.4,118.15,0,213,6,1,1,0,Winter
2023-01-02,Beauty,52,34.55,35.55,0,374,0,1,0,0,Winter
2023-01-02,Electronics,50,450.91,463.01,0,299,0,1,0,0,Winter
2023-01-02,Fashion,81,82.79,93.23,0,469,0,1,0,0,Winter
2023-01-02,Food & Grocery,190,19.16,23.83,1,1012,0,1,0,0,Winter
2023-01-02,Home & Kitchen,38,118.34,130.3,0,169,0,1,0,0,Winter
2023-01-03,Beauty,76,32.48,37.92,1,385,1,1,0,0,Winter
2023-01-03,Electronics,55,427.22,384.88,0,201,1,1,0,0,Winter
2023-01-03,Fashion,70,84.48,76.92,0,570,1,1,0,0,Winter
2023-01-03,Food & Grocery,100,25.48,24.44,0,881,1,1,0,0,Winter
2023-01-03,Home & Kitchen,33,120.26,113.65,0,171,1,1,0,0,Winter
2023-01-04,Beauty,65,35.4,34.45,0,282,2,1,0,0,Winter
2023-01-04,Electronics,45,436.64,354.06,0,228,2,1,0,0,Winter
2023-01-04,Fashion,195,60.97,76.2,1,498,2,1,0,0,Winter
2023-01-04,Food & Grocery,96,26.18,25.4,0,852,2,1,0,0,Winter
2023-01-04,Home & Kitchen,33,118.2,105.78,0,124,2,1,0,0,Winter
2023-01-05,Beauty,51,35.51,33.31,0,292,3,1,0,0,Winter
2023-01-05,Electronics,37,470.73,458.25,0,348,3,1,0,0,Winter
2023-01-05,Fashion,64,82.18,77.39,0,533,3,1,0,0,Winter
2023-01-05,Food & Grocery,91,25.18,25.44,0,497,3,1,0,0,Winter
2023-01-05,Home & Kitchen,55,104.92,109.88,1,283,3,1,0,0,Winter
2023-01-06,Beauty,49,33.56,34.17,0,237,4,1,0,0,Winter
2023-01-06,Electronics,40,430.24,423.42,0,183,4,1,0,0,Winter
2023-01-06,Fashion,83,83.65,77.55,0,495,4,1,0,0,Winter
2023-01-06,Food & Grocery,80,25.04,25.0,0,833,4,1,0,0,Winter
2023-01-06,Home & Kitchen,22,130.46,105.94,0,191,4,1,0,0,Winter
2023-01-07,Beauty,66,35.46,41.1,0,371,5,1,1,0,Winter
2023-01-07,Electronics,35,439.7,399.94,0,330,5,1,1,0,Winter
2023-01-07,Fashion,86,78.46,82.99,0,491,5,1,1,0,Winter
2023-01-07,Food & Grocery,98,25.59,24.52,0,726,5,1,1,0,Winter
2023-01-07,Home & Kitchen,22,123.11,116.06,0,165,5,1,1,0,Winter
2023-01-08,Beauty,51,35.28,31.98,0,295,6,1,1,0,Winter
2023-01-08,Electronics,28,443.0,518.01,0,320,6,1,1,0,Winter
2023-01-08,Fashion,85,86.55,65.52,0,456,6,1,1,0,Winter
